agency_cd	site_no	datetime	tz_cd	76944_00060	76944_00060_cd	76946_00045	76946_00045_cd	76948_00095	76948_00095_cd
USGS	06893820	2019-11-26 00:00	CST	19.2	P	0.00	P	506	P
USGS	06893820	2019-11-26 00:15	CST	19.2	P	0.00	P	506	P
USGS	06893820	2019-11-26 00:30	CST	19.2	P	0.00	P	506	P
USGS	06893820	2019-11-26 00:45	CST	19.2	P	0.00	P	506	P
USGS	06893820	2019-11-26 01:00	CST	19.2	P	0.00	P	506	P
USGS	06893820	2019-11-26 01:15	CST	19.2	P	0.00	P	506	P
USGS	06893820	2019-11-26 01:30	CST	19.2	P	0.00	P	507	P
USGS	06893820	2019-11-26 01:45	CST	19.2	P	0.00	P	507	P
USGS	06893820	2019-11-26 02:00	CST	19.2	P	0.00	P	507	P
USGS	06893820	2019-11-26 02:15	CST	19.2	P	0.00	P	507	P
USGS	06893820	2019-11-26 02:30	CST	19.2	P	0.00	P	507	P
USGS	06893820	2019-11-26 02:45	CST	18.8	P	0.00	P	507	P
USGS	06893820	2019-11-26 03:00	CST	19.2	P	0.00	P	507	P
USGS	06893820	2019-11-26 03:15	CST	19.2	P	0.00	P	507	P
USGS	06893820	2019-11-26 03:30	CST	19.2	P	0.00	P	507	P
USGS	06893820	2019-11-26 03:45	CST	19.2	P	0.00	P	507	P
USGS	06893820	2019-11-26 04:00	CST	19.2	P	0.00	P	507	P
USGS	06893820	2019-11-26 04:15	CST	19.2	P	0.00	P	507	P
USGS	06893820	2019-11-26 04:30	CST	19.2	P	0.00	P	508	P
USGS	06893820	2019-11-26 04:45	CST	19.2	P	0.00	P	508	P
USGS	06893820	2019-11-26 05:00	CST	19.2	P	0.00	P	508	P
USGS	06893820	2019-11-26 05:15	CST	19.2	P	0.00	P	508	P
USGS	06893820	2019-11-26 05:30	CST	19.2	P	0.00	P	508	P
USGS	06893820	2019-11-26 05:45	CST	19.2	P	0.00	P	508	P
USGS	06893820	2019-11-26 06:00	CST	19.2	P	0.00	P	508	P
USGS	06893820	2019-11-26 06:15	CST	19.2	P	0.00	P	508	P
